,Date Time,Doctors (count),Nurses(Count),Doctors on-call (Count),Nurses on-call (Count),Total Hospital Beds (Count),Hospital Beds Open (Count),Hospital Beds Occupied (Count),Ambulances On Duty (Count)
65,2022-01-03 17:00:00,137,269,11,17,794,694,100,12
66,2022-01-03 18:00:00,129,270,9,15,534,385,149,5
67,2022-01-03 19:00:00,135,288,6,14,571,466,105,12
68,2022-01-03 20:00:00,142,266,7,17,642,473,169,7
69,2022-01-03 21:00:00,133,298,10,14,500,409,91,13
70,2022-01-03 22:00:00,121,279,10,10,777,591,186,8
71,2022-01-03 23:00:00,147,253,11,15,629,514,115,6
72,2022-01-04 00:00:00,149,283,10,18,634,562,72,6
73,2022-01-04 01:00:00,125,297,14,19,524,447,77,10
74,2022-01-04 02:00:00,134,255,11,13,629,481,148,6
75,2022-01-04 03:00:00,135,282,9,12,734,544,190,13
76,2022-01-04 04:00:00,121,286,10,15,614,441,173,9
77,2022-01-04 05:00:00,144,280,7,13,793,622,171,9
78,2022-01-04 06:00:00,141,270,14,11,603,508,95,12
79,2022-01-04 07:00:00,131,284,6,13,746,619,127,6
80,2022-01-04 08:00:00,139,266,12,13,668,520,148,7
81,2022-01-04 09:00:00,134,285,9,17,530,462,68,14
82,2022-01-04 10:00:00,133,274,13,14,731,617,114,11
83,2022-01-04 11:00:00,125,257,14,10,566,438,128,6
84,2022-01-04 12:00:00,144,259,13,12,629,506,123,6
85,2022-01-04 13:00:00,141,278,10,11,761,634,127,7
86,2022-01-04 14:00:00,121,283,11,18,539,398,141,7
87,2022-01-04 15:00:00,142,250,10,13,791,554,237,9
88,2022-01-04 16:00:00,120,251,7,10,590,477,113,14
89,2022-01-04 17:00:00,138,264,9,17,637,502,135,12
90,2022-01-04 18:00:00,137,273,14,10,549,485,64,6
91,2022-01-04 19:00:00,132,272,7,18,628,545,83,10
92,2022-01-04 20:00:00,147,298,9,11,573,469,104,11
93,2022-01-04 21:00:00,120,298,6,18,778,652,126,5
94,2022-01-04 22:00:00,129,279,8,17,730,563,167,9
95,2022-01-04 23:00:00,139,264,11,18,703,512,191,7
96,2022-01-05 00:00:00,127,262,5,14,602,508,94,5
97,2022-01-05 01:00:00,138,254,14,17,714,559,155,9
98,2022-01-05 02:00:00,141,296,8,10,768,625,143,7
99,2022-01-05 03:00:00,148,286,8,16,708,625,83,11
100,2022-01-05 04:00:00,147,253,6,15,708,510,198,13
101,2022-01-05 05:00:00,149,299,13,12,607,510,97,6
102,2022-01-05 06:00:00,127,271,6,13,586,477,109,9
103,2022-01-05 07:00:00,139,297,6,14,513,392,121,7
104,2022-01-05 08:00:00,137,285,13,13,625,538,87,13
105,2022-01-05 09:00:00,132,288,10,18,697,588,109,11
106,2022-01-05 10:00:00,144,297,8,17,610,468,142,12
107,2022-01-05 11:00:00,140,290,9,14,666,576,90,13
108,2022-01-05 12:00:00,139,284,7,11,726,544,182,12
109,2022-01-05 13:00:00,137,284,9,11,520,437,83,7
110,2022-01-05 14:00:00,123,275,10,11,738,620,118,12
111,2022-01-05 15:00:00,139,284,9,10,726,595,131,8
112,2022-01-05 16:00:00,140,270,5,12,596,454,142,7
113,2022-01-05 17:00:00,138,268,10,15,640,457,183,13
114,2022-01-05 18:00:00,132,279,8,11,717,582,135,13
115,2022-01-05 19:00:00,137,295,5,16,596,444,152,12
116,2022-01-05 20:00:00,134,295,10,11,776,600,176,10
117,2022-01-05 21:00:00,147,280,8,10,532,402,130,13
118,2022-01-05 22:00:00,140,282,12,12,569,454,115,9
119,2022-01-05 23:00:00,137,254,13,10,762,568,194,9
120,2022-01-06 00:00:00,149,273,5,18,604,453,151,13
121,2022-01-06 01:00:00,135,253,10,10,597,453,144,11
122,2022-01-06 02:00:00,145,276,8,13,645,484,161,9
123,2022-01-06 03:00:00,138,263,8,11,527,393,134,12
124,2022-01-06 04:00:00,121,274,5,15,545,381,164,9
125,2022-01-06 05:00:00,134,299,11,14,668,565,103,14
126,2022-01-06 06:00:00,149,250,13,16,547,468,79,14
127,2022-01-06 07:00:00,145,275,9,14,795,681,114,7
128,2022-01-06 08:00:00,142,289,6,15,612,506,106,11
129,2022-01-06 09:00:00,139,268,11,19,592,530,62,10
130,2022-01-06 10:00:00,143,253,14,16,582,450,132,10
131,2022-01-06 11:00:00,136,255,5,16,784,663,121,14
132,2022-01-06 12:00:00,126,255,14,18,651,501,150,9
133,2022-01-06 13:00:00,133,258,10,17,786,599,187,11
134,2022-01-06 14:00:00,146,289,7,18,510,365,145,6
135,2022-01-06 15:00:00,133,264,12,15,721,606,115,10
136,2022-01-06 16:00:00,137,271,7,19,699,548,151,6
137,2022-01-06 17:00:00,121,251,9,19,740,518,222,13
138,2022-01-06 18:00:00,140,278,13,13,592,525,67,10
139,2022-01-06 19:00:00,127,280,8,12,740,524,216,14
140,2022-01-06 20:00:00,146,261,13,14,731,594,137,5
141,2022-01-06 21:00:00,130,252,14,13,511,436,75,8
142,2022-01-06 22:00:00,124,253,8,11,616,499,117,11
143,2022-01-06 23:00:00,126,283,13,15,590,528,62,10
144,2022-01-07 00:00:00,142,259,8,13,786,644,142,14
145,2022-01-07 01:00:00,144,294,13,15,727,575,152,12
146,2022-01-07 02:00:00,142,293,9,15,510,435,75,11
147,2022-01-07 03:00:00,131,297,11,14,568,423,145,9
148,2022-01-07 04:00:00,126,256,5,19,611,470,141,10
149,2022-01-07 05:00:00,148,250,7,15,545,490,55,8
150,2022-01-07 06:00:00,148,285,10,11,575,477,98,8
151,2022-01-07 07:00:00,139,272,14,15,665,536,129,8
152,2022-01-07 08:00:00,146,258,14,14,597,512,85,5
153,2022-01-07 09:00:00,149,266,8,16,571,430,141,12
154,2022-01-07 10:00:00,136,285,10,16,624,522,102,9
155,2022-01-07 11:00:00,142,271,14,14,522,373,149,11
156,2022-01-07 12:00:00,121,272,7,17,721,642,79,12
157,2022-01-07 13:00:00,123,270,6,13,759,672,87,14
158,2022-01-07 14:00:00,133,290,12,11,633,506,127,9
159,2022-01-07 15:00:00,149,260,13,18,692,590,102,9
160,2022-01-07 16:00:00,123,287,12,18,646,580,66,7
161,2022-01-07 17:00:00,134,267,14,12,580,495,85,8
162,2022-01-07 18:00:00,147,271,13,15,788,671,117,14
163,2022-01-07 19:00:00,133,297,7,19,783,619,164,9
164,2022-01-07 20:00:00,128,258,10,12,601,446,155,10
165,2022-01-07 21:00:00,128,274,8,10,645,565,80,14
166,2022-01-07 22:00:00,141,279,10,13,530,401,129,6
167,2022-01-07 23:00:00,125,293,12,18,769,587,182,11
168,2022-01-08 00:00:00,142,261,8,14,511,455,56,9
169,2022-01-08 01:00:00,137,257,13,13,770,690,80,5
170,2022-01-08 02:00:00,128,287,10,11,751,559,192,6
171,2022-01-08 03:00:00,149,252,9,14,513,379,134,10
172,2022-01-08 04:00:00,145,277,11,19,757,638,119,11
173,2022-01-08 05:00:00,125,262,7,10,731,621,110,5
174,2022-01-08 06:00:00,137,255,14,10,593,474,119,14
175,2022-01-08 07:00:00,135,280,14,18,701,511,190,10
176,2022-01-08 08:00:00,149,299,9,17,793,655,138,12
177,2022-01-08 09:00:00,123,280,10,18,630,479,151,5
178,2022-01-08 10:00:00,140,276,12,15,664,578,86,12
179,2022-01-08 11:00:00,131,298,11,14,570,490,80,5
180,2022-01-08 12:00:00,148,275,10,19,686,517,169,6
181,2022-01-08 13:00:00,127,275,8,18,797,589,208,10
182,2022-01-08 14:00:00,126,292,6,14,625,485,140,14
183,2022-01-08 15:00:00,123,290,5,15,554,400,154,11
184,2022-01-08 16:00:00,147,284,11,16,725,628,97,5
185,2022-01-08 17:00:00,132,254,6,19,678,547,131,8
186,2022-01-08 18:00:00,124,254,7,10,533,476,57,10
187,2022-01-08 19:00:00,125,273,8,16,727,512,215,10
188,2022-01-08 20:00:00,139,252,8,12,702,619,83,6
189,2022-01-08 21:00:00,136,266,11,14,731,552,179,10
190,2022-01-08 22:00:00,146,296,14,19,538,381,157,13
191,2022-01-08 23:00:00,135,259,13,10,543,477,66,11
192,2022-01-09 00:00:00,143,251,6,15,668,496,172,9
193,2022-01-09 01:00:00,134,280,9,19,613,544,69,5
194,2022-01-09 02:00:00,147,276,10,12,765,567,198,11
195,2022-01-09 03:00:00,131,279,8,10,585,429,156,14
196,2022-01-09 04:00:00,124,288,10,17,657,465,192,11
197,2022-01-09 05:00:00,137,290,9,12,527,438,89,8
198,2022-01-09 06:00:00,121,254,9,14,787,583,204,12
199,2022-01-09 07:00:00,125,279,14,11,732,608,124,11
200,2022-01-09 08:00:00,131,265,14,15,615,535,80,13
201,2022-01-09 09:00:00,140,291,11,19,763,549,214,7
202,2022-01-09 10:00:00,146,261,14,18,760,533,227,7
203,2022-01-09 11:00:00,142,293,6,15,597,477,120,14
204,2022-01-09 12:00:00,121,288,5,12,747,613,134,12
205,2022-01-09 13:00:00,131,251,14,10,755,537,218,8
206,2022-01-09 14:00:00,129,291,10,16,653,496,157,10
207,2022-01-09 15:00:00,141,250,8,11,772,569,203,8
208,2022-01-09 16:00:00,147,291,8,12,733,585,148,6
209,2022-01-09 17:00:00,147,265,7,12,693,498,195,9
210,2022-01-09 18:00:00,137,255,8,17,524,417,107,7
211,2022-01-09 19:00:00,129,258,14,11,682,525,157,6
212,2022-01-09 20:00:00,134,262,13,15,737,656,81,6
213,2022-01-09 21:00:00,132,250,10,16,576,479,97,6
214,2022-01-09 22:00:00,126,293,9,19,516,444,72,11
215,2022-01-09 23:00:00,128,290,9,12,664,558,106,5
216,2022-01-10 00:00:00,132,270,13,12,577,471,106,6
217,2022-01-10 01:00:00,120,273,13,14,635,529,106,13
218,2022-01-10 02:00:00,146,280,14,10,727,580,147,13
219,2022-01-10 03:00:00,130,265,11,18,783,573,210,9
220,2022-01-10 04:00:00,128,257,14,13,714,570,144,12
221,2022-01-10 05:00:00,140,285,5,12,568,411,157,7
222,2022-01-10 06:00:00,121,279,9,15,545,399,146,6
223,2022-01-10 07:00:00,129,291,8,17,534,450,84,5
224,2022-01-10 08:00:00,149,255,10,19,602,466,136,12
225,2022-01-10 09:00:00,132,250,12,16,751,535,216,5
226,2022-01-10 10:00:00,132,293,10,14,575,472,103,5
227,2022-01-10 11:00:00,139,271,11,14,539,381,158,5
228,2022-01-10 12:00:00,145,255,7,13,601,490,111,13
229,2022-01-10 13:00:00,146,278,12,17,676,560,116,5
230,2022-01-10 14:00:00,139,285,9,11,653,528,125,11
231,2022-01-10 15:00:00,121,288,9,14,572,482,90,14
232,2022-01-10 16:00:00,122,296,5,17,540,428,112,14
233,2022-01-10 17:00:00,135,292,11,11,617,459,158,9
234,2022-01-10 18:00:00,144,269,11,15,749,550,199,14
235,2022-01-10 19:00:00,132,297,10,13,659,567,92,8
236,2022-01-10 20:00:00,138,282,7,16,603,536,67,13
237,2022-01-10 21:00:00,126,270,7,15,715,629,86,7
238,2022-01-10 22:00:00,130,255,14,15,606,505,101,5
239,2022-01-10 23:00:00,139,299,8,11,597,502,95,11
240,2022-01-11 00:00:00,124,279,14,13,796,667,129,8
241,2022-01-11 01:00:00,138,267,8,18,565,408,157,10
242,2022-01-11 02:00:00,135,277,11,13,513,406,107,8
243,2022-01-11 03:00:00,146,271,14,18,612,478,134,7
244,2022-01-11 04:00:00,125,296,8,17,574,433,141,10
245,2022-01-11 05:00:00,129,278,14,17,624,489,135,10
246,2022-01-11 06:00:00,135,255,14,16,697,551,146,7
247,2022-01-11 07:00:00,142,297,14,13,754,623,131,7
248,2022-01-11 08:00:00,134,282,8,17,788,654,134,6
249,2022-01-11 09:00:00,142,250,10,15,601,497,104,8
250,2022-01-11 10:00:00,147,259,8,13,705,524,181,7
251,2022-01-11 11:00:00,144,271,13,13,696,614,82,11
252,2022-01-11 12:00:00,127,258,8,17,799,597,202,11
253,2022-01-11 13:00:00,125,288,8,17,537,425,112,7
254,2022-01-11 14:00:00,136,264,5,15,790,614,176,8
255,2022-01-11 15:00:00,140,293,14,10,560,486,74,11
256,2022-01-11 16:00:00,125,298,5,18,732,571,161,9
257,2022-01-11 17:00:00,127,287,11,13,615,458,157,5
258,2022-01-11 18:00:00,132,298,7,17,596,439,157,5
259,2022-01-11 19:00:00,136,256,9,16,504,387,117,13
260,2022-01-11 20:00:00,142,254,9,19,558,419,139,10
261,2022-01-11 21:00:00,148,277,7,12,773,618,155,14
262,2022-01-11 22:00:00,124,286,6,18,573,482,91,10
263,2022-01-11 23:00:00,131,291,11,11,797,692,105,11
264,2022-01-12 00:00:00,126,275,11,12,570,437,133,14
265,2022-01-12 01:00:00,124,268,10,12,725,549,176,13
266,2022-01-12 02:00:00,149,285,8,13,687,574,113,12
267,2022-01-12 03:00:00,138,252,5,17,597,528,69,5
268,2022-01-12 04:00:00,140,293,6,16,582,451,131,12
269,2022-01-12 05:00:00,129,279,5,11,504,375,129,8
270,2022-01-12 06:00:00,138,255,6,15,567,465,102,7
271,2022-01-12 07:00:00,124,288,6,15,641,552,89,13
272,2022-01-12 08:00:00,146,289,14,11,618,538,80,14
273,2022-01-12 09:00:00,133,281,10,11,788,555,233,12
274,2022-01-12 10:00:00,126,286,6,10,732,516,216,12
275,2022-01-12 11:00:00,129,297,9,16,584,455,129,11
276,2022-01-12 12:00:00,125,252,9,10,743,661,82,13
277,2022-01-12 13:00:00,148,284,11,16,755,662,93,6
278,2022-01-12 14:00:00,133,267,10,12,699,539,160,7
279,2022-01-12 15:00:00,125,257,8,16,577,415,162,7
280,2022-01-12 16:00:00,146,282,12,11,507,451,56,10
281,2022-01-12 17:00:00,125,292,9,17,730,654,76,11
282,2022-01-12 18:00:00,143,288,11,15,581,418,163,8
283,2022-01-12 19:00:00,145,296,10,10,738,579,159,7
284,2022-01-12 20:00:00,123,294,11,14,740,573,167,8
285,2022-01-12 21:00:00,120,253,10,17,755,564,191,13
286,2022-01-12 22:00:00,122,290,7,12,719,599,120,7
287,2022-01-12 23:00:00,123,275,12,14,583,440,143,6
288,2022-01-13 00:00:00,133,271,12,10,628,541,87,14
289,2022-01-13 01:00:00,139,287,8,12,798,680,118,8
290,2022-01-13 02:00:00,124,296,6,10,684,598,86,6
291,2022-01-13 03:00:00,136,294,6,18,645,462,183,8
292,2022-01-13 04:00:00,140,289,14,18,521,374,147,11
293,2022-01-13 05:00:00,135,283,5,13,541,474,67,14
294,2022-01-13 06:00:00,141,280,14,18,627,512,115,14
295,2022-01-13 07:00:00,138,298,14,17,623,448,175,8
296,2022-01-13 08:00:00,121,275,13,19,531,453,78,12
297,2022-01-13 09:00:00,147,286,5,19,705,594,111,8
298,2022-01-13 10:00:00,146,253,13,13,667,511,156,5
299,2022-01-13 11:00:00,143,257,6,12,798,689,109,6
300,2022-01-13 12:00:00,144,284,12,18,636,490,146,10
301,2022-01-13 13:00:00,126,250,14,14,547,427,120,7
302,2022-01-13 14:00:00,135,278,11,14,591,477,114,11
303,2022-01-13 15:00:00,137,256,9,10,503,452,51,12
304,2022-01-13 16:00:00,129,261,9,11,595,489,106,14
305,2022-01-13 17:00:00,147,299,12,10,634,566,68,13
306,2022-01-13 18:00:00,136,266,5,12,561,456,105,8
307,2022-01-13 19:00:00,140,258,14,12,781,579,202,13
308,2022-01-13 20:00:00,127,271,11,16,794,635,159,10
309,2022-01-13 21:00:00,123,282,10,11,541,389,152,6
310,2022-01-13 22:00:00,138,265,8,18,748,546,202,13
311,2022-01-13 23:00:00,133,274,9,11,523,465,58,8
312,2022-01-14 00:00:00,129,278,10,17,750,621,129,12
313,2022-01-14 01:00:00,130,278,10,11,695,575,120,7
314,2022-01-14 02:00:00,145,251,7,18,527,378,149,14
315,2022-01-14 03:00:00,121,291,11,19,791,595,196,6
316,2022-01-14 04:00:00,142,271,11,10,590,497,93,14
317,2022-01-14 05:00:00,139,257,7,19,764,591,173,6
318,2022-01-14 06:00:00,124,252,12,18,560,397,163,13
319,2022-01-14 07:00:00,144,264,8,17,757,598,159,7
320,2022-01-14 08:00:00,132,286,7,16,579,516,63,12
321,2022-01-14 09:00:00,137,292,9,16,647,483,164,12
322,2022-01-14 10:00:00,122,251,5,15,732,624,108,8
323,2022-01-14 11:00:00,121,273,12,18,722,573,149,5
324,2022-01-14 12:00:00,126,250,13,18,637,556,81,10
325,2022-01-14 13:00:00,125,254,14,10,775,696,79,11
326,2022-01-14 14:00:00,143,280,13,18,503,422,81,9
327,2022-01-14 15:00:00,123,286,9,14,586,420,166,13
328,2022-01-14 16:00:00,140,257,11,18,511,365,146,6
329,2022-01-14 17:00:00,147,284,11,19,538,389,149,14
330,2022-01-14 18:00:00,149,286,12,17,715,587,128,10
331,2022-01-14 19:00:00,142,299,6,17,737,611,126,9
332,2022-01-14 20:00:00,138,270,14,17,579,473,106,6
333,2022-01-14 21:00:00,146,297,13,11,550,469,81,7
334,2022-01-14 22:00:00,139,284,10,14,669,510,159,13
335,2022-01-14 23:00:00,148,270,9,15,615,544,71,8
336,2022-01-15 00:00:00,144,261,10,16,787,605,182,10
337,2022-01-15 01:00:00,140,287,10,13,619,553,66,8
338,2022-01-15 02:00:00,129,294,12,16,738,522,216,8
339,2022-01-15 03:00:00,121,275,11,17,688,552,136,8
340,2022-01-15 04:00:00,144,260,7,10,595,418,177,5
341,2022-01-15 05:00:00,146,286,9,14,524,416,108,9
342,2022-01-15 06:00:00,140,255,12,14,744,624,120,6
343,2022-01-15 07:00:00,129,252,5,17,549,475,74,5
344,2022-01-15 08:00:00,126,262,11,18,753,541,212,10
345,2022-01-15 09:00:00,149,273,7,19,690,614,76,14
346,2022-01-15 10:00:00,127,277,5,16,520,386,134,13
347,2022-01-15 11:00:00,123,283,9,10,549,434,115,12
348,2022-01-15 12:00:00,142,253,11,17,675,582,93,7
349,2022-01-15 13:00:00,133,288,14,15,540,457,83,8
350,2022-01-15 14:00:00,133,252,13,19,515,361,154,5
351,2022-01-15 15:00:00,132,299,9,10,614,434,180,8
352,2022-01-15 16:00:00,145,256,10,16,751,562,189,9
353,2022-01-15 17:00:00,122,261,9,19,571,437,134,5
354,2022-01-15 18:00:00,146,255,7,10,523,388,135,8
355,2022-01-15 19:00:00,120,288,5,19,658,467,191,6
356,2022-01-15 20:00:00,129,267,7,16,514,421,93,5
357,2022-01-15 21:00:00,131,254,11,16,671,545,126,5
358,2022-01-15 22:00:00,124,282,6,10,549,425,124,5
359,2022-01-15 23:00:00,126,276,14,14,541,420,121,5
360,2022-01-16 00:00:00,133,286,6,10,752,655,97,13
361,2022-01-16 01:00:00,122,292,5,17,553,432,121,9
362,2022-01-16 02:00:00,122,278,7,15,527,410,117,8
363,2022-01-16 03:00:00,148,260,14,19,741,602,139,8
364,2022-01-16 04:00:00,134,259,8,13,643,563,80,13
365,2022-01-16 05:00:00,131,258,11,13,785,649,136,13
366,2022-01-16 06:00:00,122,287,11,15,626,454,172,7
367,2022-01-16 07:00:00,149,284,14,10,624,504,120,9
368,2022-01-16 08:00:00,147,292,9,10,719,642,77,10
369,2022-01-16 09:00:00,147,284,13,17,736,649,87,13
370,2022-01-16 10:00:00,135,265,14,16,578,505,73,13
371,2022-01-16 11:00:00,126,283,8,10,706,530,176,12
372,2022-01-16 12:00:00,125,277,11,17,505,431,74,12
373,2022-01-16 13:00:00,144,261,11,18,555,494,61,10
374,2022-01-16 14:00:00,127,262,14,17,758,625,133,6
375,2022-01-16 15:00:00,123,291,11,14,592,497,95,9
376,2022-01-16 16:00:00,146,252,11,13,676,600,76,8
377,2022-01-16 17:00:00,140,253,5,10,572,476,96,7
378,2022-01-16 18:00:00,146,293,13,15,755,579,176,11
379,2022-01-16 19:00:00,148,260,6,12,673,585,88,8
380,2022-01-16 20:00:00,131,284,6,16,653,492,161,13
381,2022-01-16 21:00:00,146,270,14,14,579,477,102,8
382,2022-01-16 22:00:00,140,277,13,17,588,448,140,11
383,2022-01-16 23:00:00,120,250,6,10,780,550,230,8
384,2022-01-17 00:00:00,124,260,6,16,668,601,67,5
385,2022-01-17 01:00:00,133,290,12,18,522,458,64,7
386,2022-01-17 02:00:00,131,265,10,14,794,671,123,14
387,2022-01-17 03:00:00,123,291,13,13,641,558,83,12
388,2022-01-17 04:00:00,127,265,9,10,731,552,179,11
389,2022-01-17 05:00:00,148,253,12,19,591,515,76,6
390,2022-01-17 06:00:00,130,262,8,13,586,477,109,10
391,2022-01-17 07:00:00,123,250,11,14,740,531,209,10
392,2022-01-17 08:00:00,149,267,5,12,635,498,137,9
393,2022-01-17 09:00:00,120,293,6,12,640,458,182,9
394,2022-01-17 10:00:00,131,299,5,17,679,478,201,10
395,2022-01-17 11:00:00,131,283,9,11,622,472,150,8
396,2022-01-17 12:00:00,120,281,13,13,648,484,164,11
397,2022-01-17 13:00:00,126,261,9,12,504,451,53,5
398,2022-01-17 14:00:00,147,253,6,17,740,608,132,5
399,2022-01-17 15:00:00,132,267,12,13,559,432,127,9
400,2022-01-17 16:00:00,120,294,14,16,697,614,83,10
401,2022-01-17 17:00:00,123,257,13,14,575,426,149,10
402,2022-01-17 18:00:00,136,263,13,11,715,601,114,12
403,2022-01-17 19:00:00,147,276,12,17,755,532,223,8
404,2022-01-17 20:00:00,120,281,7,15,551,473,78,13
405,2022-01-17 21:00:00,131,297,5,16,706,601,105,6
406,2022-01-17 22:00:00,144,274,7,19,748,640,108,6
407,2022-01-17 23:00:00,135,268,11,18,592,426,166,14
408,2022-01-18 00:00:00,141,290,13,10,697,617,80,14
409,2022-01-18 01:00:00,142,294,6,17,689,499,190,14
410,2022-01-18 02:00:00,126,251,6,15,788,705,83,10
411,2022-01-18 03:00:00,122,265,6,19,623,533,90,5
412,2022-01-18 04:00:00,123,294,7,10,560,448,112,8
413,2022-01-18 05:00:00,130,266,9,11,559,403,156,13
414,2022-01-18 06:00:00,120,253,10,18,756,640,116,10
415,2022-01-18 07:00:00,127,298,8,11,752,672,80,11
416,2022-01-18 08:00:00,142,260,14,11,776,622,154,11
417,2022-01-18 09:00:00,120,285,11,17,720,538,182,11
418,2022-01-18 10:00:00,122,277,10,19,733,627,106,10
419,2022-01-18 11:00:00,132,277,14,10,730,579,151,11
420,2022-01-18 12:00:00,132,252,5,11,750,538,212,5
421,2022-01-18 13:00:00,127,258,5,16,568,425,143,5
422,2022-01-18 14:00:00,136,276,13,19,603,541,62,8
423,2022-01-18 15:00:00,131,296,13,16,527,429,98,6
424,2022-01-18 16:00:00,149,298,8,19,598,468,130,13
425,2022-01-18 17:00:00,149,260,6,13,678,498,180,6
426,2022-01-18 18:00:00,121,297,14,10,507,450,57,7
427,2022-01-18 19:00:00,128,251,11,10,583,423,160,5
428,2022-01-18 20:00:00,131,254,7,11,597,536,61,7
429,2022-01-18 21:00:00,127,284,5,11,603,499,104,12
430,2022-01-18 22:00:00,127,252,13,17,563,451,112,5
431,2022-01-18 23:00:00,129,256,10,11,683,494,189,10
432,2022-01-19 00:00:00,149,261,10,12,573,505,68,5
433,2022-01-19 01:00:00,124,289,8,17,798,611,187,13
434,2022-01-19 02:00:00,120,299,8,14,551,478,73,5
435,2022-01-19 03:00:00,139,284,6,13,634,493,141,14
436,2022-01-19 04:00:00,132,253,11,19,557,436,121,5
437,2022-01-19 05:00:00,141,271,11,17,566,493,73,14
438,2022-01-19 06:00:00,132,294,9,18,763,659,104,9
439,2022-01-19 07:00:00,126,289,7,11,588,481,107,14
440,2022-01-19 08:00:00,137,286,5,13,772,617,155,10
441,2022-01-19 09:00:00,137,268,7,11,642,478,164,9
442,2022-01-19 10:00:00,121,267,12,10,743,556,187,12
443,2022-01-19 11:00:00,124,252,6,19,790,605,185,9
444,2022-01-19 12:00:00,127,290,9,11,516,408,108,9
